outer_fold,inner_repeat,encoder,layer,inner_utility,selected,selection_model,selection_seed
5,1,muq,12,0.3752721098571548,False,muq_multitask,17
0,2,mert,3,0.3879912824236205,True,mert_multitask,17
0,2,mert,6,0.3872375979472162,False,mert_multitask,17
0,2,mert,9,0.3800834633631242,False,mert_multitask,17
0,2,mert,12,0.3862113735695335,False,mert_multitask,17
0,2,muq,3,0.3995794683221483,False,muq_multitask,17
0,2,muq,6,0.4039547183293326,False,muq_multitask,17
0,2,muq,9,0.4038446873132263,False,muq_multitask,17
0,2,muq,12,0.4040167392787138,True,muq_multitask,17
1,2,mert,3,0.3845300754756798,False,mert_multitask,17
1,2,mert,6,0.3866889142278855,False,mert_multitask,17
1,2,mert,9,0.3974858249014769,True,mert_multitask,17
1,2,mert,12,0.3908675734184524,False,mert_multitask,17
1,2,muq,3,0.4204444902045483,True,muq_multitask,17
1,2,muq,6,0.4114367240709593,False,muq_multitask,17
1,2,muq,9,0.4159432744126171,False,muq_multitask,17
1,2,muq,12,0.4048552992369313,False,muq_multitask,17
2,2,mert,3,0.3706363150732011,False,mert_multitask,17
2,2,mert,6,0.3726711013062767,False,mert_multitask,17
2,2,mert,9,0.3740241735013014,True,mert_multitask,17
2,2,mert,12,0.3586714638700749,False,mert_multitask,17
2,2,muq,3,0.3801286769391415,True,muq_multitask,17
2,2,muq,6,0.3780589589433605,False,muq_multitask,17
2,2,muq,9,0.3770764684039071,False,muq_multitask,17
2,2,muq,12,0.3781120259987994,False,muq_multitask,17
3,2,mert,3,0.3810678428067836,False,mert_multitask,17
3,2,mert,6,0.3838498621870859,False,mert_multitask,17
3,2,mert,9,0.3818017146021398,False,mert_multitask,17
3,2,mert,12,0.3882830488936756,True,mert_multitask,17
3,2,muq,3,0.3829224909096309,False,muq_multitask,17
3,2,muq,6,0.4002308728448807,True,muq_multitask,17
3,2,muq,9,0.3832671474288264,False,muq_multitask,17
3,2,muq,12,0.3808651737644768,False,muq_multitask,17
4,2,mert,3,0.3718535890819675,False,mert_multitask,17
4,2,mert,6,0.3611885012573527,False,mert_multitask,17
4,2,mert,9,0.3609867284656007,False,mert_multitask,17
4,2,mert,12,0.3758432748220991,True,mert_multitask,17
4,2,muq,3,0.3886364885991324,False,muq_multitask,17
4,2,muq,6,0.3831497979882336,False,muq_multitask,17
4,2,muq,9,0.3891129367704155,True,muq_multitask,17
4,2,muq,12,0.3810110522188178,False,muq_multitask,17
5,2,mert,3,0.3865293347939791,False,mert_multitask,17
5,2,mert,6,0.3837744672157788,False,mert_multitask,17
5,2,mert,9,0.4038728393732121,True,mert_multitask,17
5,2,mert,12,0.3777779155121492,False,mert_multitask,17
5,2,muq,3,0.4101185223949981,True,muq_multitask,17
5,2,muq,6,0.406734356889603,False,muq_multitask,17
5,2,muq,9,0.3998142898722542,False,muq_multitask,17
5,2,muq,12,0.394741435468062,False,muq_multitask,17
0,3,mert,3,0.3988308941291188,True,mert_multitask,17
0,3,mert,6,0.3855721684225325,False,mert_multitask,17
0,3,mert,9,0.3895311478346825,False,mert_multitask,17
0,3,mert,12,0.3926707453396234,False,mert_multitask,17
0,3,muq,3,0.3957704046265825,False,muq_multitask,17
0,3,muq,6,0.4107357317748885,False,muq_multitask,17
0,3,muq,9,0.4158193508957177,True,muq_multitask,17
0,3,muq,12,0.3987737689488382,False,muq_multitask,17
1,3,mert,3,0.4070650946062819,False,mert_multitask,17
1,3,mert,6,0.3985684886873332,False,mert_multitask,17
1,3,mert,9,0.4137499540183408,True,mert_multitask,17
1,3,mert,12,0.4002561247073889,False,mert_multitask,17
1,3,muq,3,0.3982803751837941,False,muq_multitask,17
1,3,muq,6,0.3976845835470041,False,muq_multitask,17
1,3,muq,9,0.4073508411250522,False,muq_multitask,17
1,3,muq,12,0.4099563232921001,True,muq_multitask,17
2,3,mert,3,0.4029697494663529,False,mert_multitask,17
2,3,mert,6,0.3883606513888413,False,mert_multitask,17
2,3,mert,9,0.4094133647534522,True,mert_multitask,17
2,3,mert,12,0.4068655340191877,False,mert_multitask,17
2,3,muq,3,0.3972973823240254,True,muq_multitask,17
2,3,muq,6,0.378611148969521,False,muq_multitask,17
2,3,muq,9,0.3944508743817777,False,muq_multitask,17
